"","yr","mo","bay_segment","mean_sdm","sum_sdm"
"471",1987,5,"HB",1,NA
"472",1987,5,"LTB",3.62857142857143,NA
"473",1987,5,"OTB",1.20714285714286,NA
"474",1987,6,"HB",1.17,NA
"475",1987,6,"LTB",2.3875,NA
"476",1987,6,"OTB",1.47142857142857,NA
"477",1987,7,"HB",1.13333333333333,NA
"478",1987,7,"LTB",3.64285714285714,NA
"479",1987,7,"OTB",1.33333333333333,NA
"480",1987,8,"HB",1.225,NA
"481",1987,8,"LTB",3.45,NA
"482",1987,8,"OTB",1.45,NA
"483",1987,9,"HB",1.04444444444444,NA
"484",1987,9,"LTB",3.71428571428571,NA
"485",1987,9,"OTB",1.29333333333333,NA
"486",1987,10,"HB",1.25,NA
"487",1987,10,"LTB",1.975,NA
"488",1987,10,"OTB",1.57142857142857,NA
"489",1987,11,"HB",1.53,NA
"490",1987,11,"LTB",2.92857142857143,NA
"491",1987,12,"HB",1.575,NA
"492",1987,12,"LTB",6.14,NA
"493",1987,12,"OTB",3.58571428571429,NA
"494",1988,1,"HB",2.6,NA
"495",1988,1,"LTB",2.9125,NA
"496",1988,1,"OTB",2.38571428571429,NA
"497",1988,2,"HB",2.075,NA
"498",1988,2,"LTB",2.4,NA
"499",1988,2,"OTB",2.10833333333333,NA
"500",1988,3,"HB",1.3,NA
"501",1988,3,"LTB",3.3375,NA
"502",1988,3,"OTB",2.375,NA
"503",1988,4,"HB",1.01111111111111,NA
"504",1988,4,"LTB",3.5,NA
"505",1988,4,"OTB",1.55,NA
"506",1988,5,"HB",1.2,NA
"507",1988,5,"LTB",4.15,NA
"508",1988,5,"OTB",2.28888888888889,NA
"509",1988,6,"HB",0.922222222222222,NA
"510",1988,6,"LTB",2.6,NA
"511",1988,6,"OTB",1.06666666666667,NA
"512",1988,7,"HB",0.99,NA
"513",1988,7,"LTB",2.1125,NA
"514",1988,7,"OTB",0.846666666666667,NA
"515",1988,8,"HB",1.2,NA
"516",1988,8,"LTB",3.81666666666667,NA
"517",1988,8,"OTB",1.36666666666667,NA
"518",1988,9,"HB",0.833333333333333,NA
"519",1988,9,"LTB",1.875,NA
"520",1988,9,"OTB",1.31333333333333,NA
"521",1988,10,"HB",0.955555555555556,NA
"522",1988,10,"LTB",2.41428571428571,NA
"523",1988,10,"OTB",1.07333333333333,NA
"524",1988,11,"HB",1.01111111111111,NA
"525",1988,11,"LTB",3.9,NA
"526",1988,11,"OTB",2.05,NA
"527",1988,12,"HB",1.28571428571429,NA
"528",1988,12,"LTB",3.94,NA
"529",1988,12,"OTB",2.46666666666667,NA
"530",1989,1,"HB",1.06666666666667,NA
"531",1989,1,"LTB",2.0625,NA
"532",1989,1,"OTB",1.96666666666667,NA
"533",1989,2,"HB",1.26666666666667,NA
"534",1989,2,"LTB",4.57142857142857,NA
"535",1989,2,"OTB",1.74166666666667,NA
"536",1989,3,"HB",1.36666666666667,NA
"537",1989,3,"LTB",5.08333333333333,NA
"538",1989,3,"OTB",1.94166666666667,NA
"539",1989,4,"HB",0.92,NA
"540",1989,4,"LTB",3.3875,NA
"541",1989,4,"OTB",1.16153846153846,NA
"542",1989,5,"HB",0.91,NA
"543",1989,5,"LTB",2.6125,NA
"544",1989,5,"OTB",1.5,NA
"545",1989,6,"HB",1.18888888888889,NA
"546",1989,6,"LTB",2.0375,NA
"547",1989,6,"OTB",1.34285714285714,NA
